postcode_area,region
AL,East of England
B,West Midlands
BA,South West
BB,North West
BD,Yorkshire and the Humber
BH,South West
BL,North West
BN,South East
BR,London
BS,South West
CA,North West
CB,East of England
CF,Wales
CH,North West
CM,East of England
CO,East of England
CR,London
CT,South East
CV,West Midlands
CW,North West
DA,London
DE,East Midlands
DH,North East
DL,North East
DN,Yorkshire and the Humber
DT,South West
DY,West Midlands
E,London
EC,London
EN,London
EX,South West
FY,North West
GL,South West
GU,South East
HA,London
HD,Yorkshire and the Humber
HG,Yorkshire and the Humber
HP,South East
HR,West Midlands
HU,Yorkshire and the Humber
HX,Yorkshire and the Humber
IG,London
IP,East of England
KT,London
L,North West
LA,North West
LD,Wales
LE,East Midlands
LL,Wales
LN,East Midlands
LS,Yorkshire and the Humber
LU,East of England
M,North West
ME,South East
MK,South East
N,London
NE,North East
NG,East Midlands
NN,East Midlands
NP,Wales
NR,East of England
NW,London
OL,North West
OX,South East
PE,East of England
PL,South West
PO,South East
PR,North West
RG,South East
RH,South East
RM,London
S,Yorkshire and the Humber
SA,Wales
SE,London
SG,East of England
SK,North West
SL,South East
SM,London
SN,South West
SO,South East
SP,South West
SR,North East
SS,East of England
ST,West Midlands
SW,London
SY,West Midlands
TA,South West
TF,West Midlands
TN,South East
TQ,South West
TR,South West
TS,North East
TW,London
UB,London
W,London
WA,North West
WC,London
WD,East of England
WF,Yorkshire and the Humber
WN,North West
WR,West Midlands
WS,West Midlands
WV,West Midlands
YO,Yorkshire and the Humber
